'Elapsedtime','CO2','Rhum','Temp','TVOC'
'seconds','ppm','%','degC','ppb'
20190927054538,477.00,59.00,29.80,26.00
20190927054638,482.00,59.00,29.90,25.00
20190927054738,478.00,59.00,29.80,26.00
20190927054838,482.00,59.00,29.80,25.00
20190927054938,481.00,59.00,29.80,24.00
20190927055038,475.00,59.00,29.80,24.00
20190927055138,480.00,59.00,29.80,23.00
20190927055238,477.00,59.00,29.70,24.00
20190927055338,471.00,59.00,29.80,24.00
20190927055438,462.00,59.00,29.70,24.00
20190927055538,462.00,59.00,29.80,24.00
20190927055638,463.00,59.00,29.80,23.00
20190927055738,466.00,59.00,29.80,25.00
20190927055838,462.00,59.00,29.80,23.00
20190927055938,455.00,59.00,29.80,23.00
20190927060038,460.00,59.00,29.80,25.00
20190927060139,468.00,59.00,29.80,23.00
20190927060239,471.00,59.00,29.80,24.00
20190927060339,469.00,59.00,29.80,23.00
20190927060439,469.00,59.00,29.80,23.00
20190927060539,458.00,59.00,29.70,23.00
20190927060639,461.00,59.00,29.70,23.00
20190927060739,469.00,59.00,29.80,24.00
20190927060839,472.00,59.00,29.80,23.00
20190927060939,460.00,59.00,29.70,23.00
20190927061039,460.00,59.00,29.70,23.00
20190927061139,463.00,60.00,29.80,24.00
20190927061239,470.00,59.00,29.80,23.00
20190927061339,462.00,59.00,29.70,23.00
20190927061439,467.00,59.00,29.70,23.00
20190927061539,464.00,59.00,29.70,23.00
20190927061639,465.00,60.00,29.60,23.00
20190927061739,462.00,60.00,29.60,23.00
20190927061839,467.00,60.00,29.60,23.00
20190927061940,467.00,60.00,29.60,24.00
20190927062040,468.00,60.00,29.60,24.00
20190927062140,473.00,60.00,29.60,23.00
20190927062240,470.00,59.00,29.70,25.00
20190927062340,468.00,60.00,29.70,24.00
20190927062440,469.00,59.00,29.80,23.00
20190927062540,463.00,59.00,29.70,23.00
20190927062640,465.00,60.00,29.70,23.00
20190927062740,463.00,59.00,29.70,24.00
20190927062840,472.00,60.00,29.70,23.00
20190927062940,475.00,60.00,29.60,23.00
20190927063040,472.00,60.00,29.60,23.00
20190927063140,469.00,60.00,29.60,24.00
20190927063240,475.00,60.00,29.70,25.00
20190927063340,473.00,59.00,29.70,24.00
20190927063440,478.00,59.00,29.70,24.00
20190927063540,471.00,59.00,29.80,24.00
20190927063641,471.00,59.00,29.80,23.00
20190927063741,473.00,59.00,29.70,23.00
20190927063841,465.00,60.00,29.60,23.00
20190927063941,470.00,59.00,29.70,23.00
20190927064041,476.00,60.00,29.70,23.00
20190927064141,473.00,59.00,29.70,23.00
20190927064241,470.00,59.00,29.70,22.00
20190927064341,467.00,60.00,29.70,23.00
20190927064441,465.00,59.00,29.60,23.00
20190927064541,463.00,59.00,29.60,23.00
20190927064641,470.00,59.00,29.60,24.00
20190927064741,467.00,59.00,29.70,23.00
20190927064841,471.00,60.00,29.60,23.00
20190927064941,470.00,60.00,29.60,22.00
20190927065041,466.00,60.00,29.60,23.00
20190927065141,468.00,60.00,29.60,23.00
20190927065241,465.00,60.00,29.60,23.00
20190927065342,474.00,59.00,29.60,23.00
20190927065442,473.00,59.00,29.60,25.00
20190927065542,477.00,59.00,29.60,23.00
20190927065642,474.00,59.00,29.70,24.00
20190927065742,473.00,60.00,29.60,25.00
20190927065842,471.00,59.00,29.70,23.00
20190927065942,469.00,59.00,29.70,23.00
20190927070042,470.00,59.00,29.70,23.00
20190927070142,474.00,59.00,29.60,23.00
20190927070242,475.00,59.00,29.60,23.00
20190927070342,470.00,59.00,29.60,23.00
20190927070442,469.00,60.00,29.50,23.00
20190927070542,464.00,60.00,29.50,22.00
20190927070642,464.00,60.00,29.50,22.00
20190927070742,464.00,60.00,29.50,23.00
20190927070842,460.00,60.00,29.50,23.00
20190927070942,462.00,60.00,29.60,24.00
20190927071043,462.00,59.00,29.60,24.00
20190927071143,474.00,59.00,29.60,23.00
20190927071243,473.00,59.00,29.60,23.00
20190927071343,463.00,59.00,29.60,23.00
20190927071443,467.00,59.00,29.60,23.00
20190927071543,473.00,59.00,29.60,23.00
20190927071643,472.00,59.00,29.60,23.00
20190927071743,475.00,59.00,29.60,23.00
20190927071843,470.00,59.00,29.60,24.00
20190927071943,471.00,59.00,29.60,22.00
20190927072043,470.00,59.00,29.60,23.00
20190927072143,468.00,59.00,29.60,23.00
20190927072243,464.00,59.00,29.60,23.00
20190927072343,466.00,59.00,29.60,23.00
20190927072443,475.00,59.00,29.60,23.00
20190927072543,479.00,59.00,29.60,23.00
20190927072643,477.00,59.00,29.60,23.00
20190927072744,472.00,59.00,29.60,22.00
20190927072844,468.00,59.00,29.60,23.00
20190927072944,471.00,59.00,29.60,23.00
20190927073044,464.00,59.00,29.60,23.00
20190927073144,475.00,59.00,29.60,23.00
20190927073244,471.00,59.00,29.50,23.00
20190927073344,468.00,59.00,29.60,23.00
20190927073444,469.00,59.00,29.60,22.00
20190927073544,473.00,59.00,29.60,21.00
20190927073644,470.00,59.00,29.60,22.00
20190927073744,471.00,59.00,29.60,23.00
20190927073844,466.00,59.00,29.60,23.00
20190927073944,478.00,59.00,29.70,23.00
20190927074044,475.00,59.00,29.70,23.00
20190927074144,472.00,59.00,29.60,22.00
20190927074244,476.00,59.00,29.60,22.00
20190927074344,478.00,59.00,29.60,22.00
20190927074445,481.00,59.00,29.60,22.00
20190927074545,472.00,59.00,29.60,22.00
20190927074645,472.00,59.00,29.60,21.00
20190927074745,471.00,59.00,29.50,22.00
20190927074845,475.00,59.00,29.60,21.00
20190927074945,469.00,59.00,29.60,23.00
20190927075045,470.00,59.00,29.60,23.00
20190927075145,464.00,59.00,29.60,22.00
20190927075245,471.00,59.00,29.60,23.00
20190927075345,464.00,59.00,29.60,23.00
20190927075445,468.00,59.00,29.60,23.00
20190927075545,465.00,59.00,29.60,23.00
20190927075645,462.00,59.00,29.70,23.00
20190927075745,467.00,59.00,29.70,23.00
20190927075845,474.00,59.00,29.70,23.00
20190927075945,459.00,59.00,29.70,23.00
20190927080045,471.00,59.00,29.70,22.00
20190927080146,470.00,59.00,29.60,23.00
20190927080246,464.00,59.00,29.60,22.00
20190927080346,464.00,59.00,29.60,21.00
20190927080446,468.00,59.00,29.60,22.00
20190927080546,465.00,59.00,29.60,23.00
20190927080646,460.00,59.00,29.60,22.00
20190927080746,466.00,59.00,29.60,23.00
20190927080846,470.00,59.00,29.60,22.00
20190927080946,472.00,59.00,29.70,22.00
20190927081046,474.00,59.00,29.60,22.00
20190927081146,473.00,59.00,29.60,22.00
20190927081246,467.00,59.00,29.50,22.00
20190927081346,466.00,59.00,29.60,22.00
20190927081446,468.00,59.00,29.60,22.00
20190927081546,471.00,59.00,29.60,21.00
20190927081646,470.00,59.00,29.60,21.00
20190927081746,468.00,59.00,29.60,21.00
